model,r2,mae,rmse
TF-IDF Only,0.5862512971274791,0.11910120005237207,0.1478140835701569
RF Only,0.7487352264095153,0.08410915310103423,0.11518960677038712
Hybrid Ensemble,0.832998796029655,0.06794254459718527,0.09390901679213341
